Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
7/12/2022 17:37,180 Fb Ds(Koufu Nyp),SGD,-6,,,SGD,-6,-4.574558615,,
7/12/2022 17:34,180 St01(Koufu Nyp),SGD,-30.71,,,SGD,-30.71,-23.41411585,,
6/12/2022 13:13,180 St02(Koufu Nyp),SGD,-5.2,,,SGD,-5.2,-3.964617466,,
1/12/2022 16:32,180 St06(Koufu Nyp),SGD,-5.5,,,SGD,-5.5,-4.193345397,,
28/11/2022 9:49,180 St02(Koufu Nyp),SGD,-6,,,SGD,-6,-4.574558615,,
24/11/2022 16:05,180 St02(Koufu Nyp),SGD,-6,,,SGD,-6,-4.574558615,,
17/11/2022 16:17,180 St02(Koufu Nyp),SGD,-5.2,,,SGD,-5.2,-3.964617466,,
14/11/2022 17:03,180 St06(Koufu Nyp),SGD,-4.5,,,SGD,-4.5,-3.430918961,,
3/11/2022 14:59,180 St02(Koufu Nyp),SGD,-5.2,,,SGD,-5.2,-3.964617466,,
31/10/2022 17:24,180 St06(Koufu Nyp),SGD,-4,,,SGD,-4,-3.049705743,,
31/10/2022 17:15,180 St08(Koufu Nyp),SGD,-3.3,,,SGD,-3.3,-2.516007238,,
27/10/2022 16:16,180 St06(Koufu Nyp),SGD,-4.5,,,SGD,-4.5,-3.430918961,,
21/10/2022 9:34,180 St03(Koufu Nyp),SGD,-2,,,SGD,-2,-1.524852872,,
21/10/2022 9:18,180 St05(Koufu Nyp),SGD,-2.4,,,SGD,-2.4,-1.829823446,,
21/10/2022 16:51,180 St01(Koufu Nyp),SGD,-9.84,,,SGD,-9.84,-7.502276129,,
18/10/2022 17:03,180 St03(Koufu Nyp),SGD,-4.5,,,SGD,-4.5,-3.430918961,,
17/10/2022 10:17,180 Fb Dc(Koufu Nyp),SGD,-2.4,,,SGD,-2.4,-1.829823446,,
25/8/2022 11:58,180 Fb Dc(Koufu Nyp),SGD,-1.5,,,SGD,-1.5,-1.143639654,,
5/8/2022 17:52,180 St01(Koufu Nyp),SGD,-27.16,,,SGD,-27.16,-20.707502,,
29/7/2022 10:27,180 St02(Koufu Nyp),SGD,-5.2,,,SGD,-5.2,-3.964617466,,
29/7/2022 16:34,180 St06(Koufu Nyp),SGD,-4.5,,,SGD,-4.5,-3.430918961,,
28/7/2022 13:59,180 Fb Dc(Koufu Nyp),SGD,-1.7,,,SGD,-1.7,-1.296124941,,
28/7/2022 13:39,180 St08(Koufu Nyp),SGD,-6,,,SGD,-6,-4.574558615,,
26/7/2022 9:17,180 Fb Dc(Koufu Nyp),SGD,-2.4,,,SGD,-2.4,-1.829823446,,
26/7/2022 8:22,180 St01(Koufu Nyp),SGD,-23.27,,,SGD,-23.27,-17.74166316,,
21/7/2022 9:29,180 Fb Dc(Koufu Nyp),SGD,-2.6,,,SGD,-2.6,-1.982308733,,
21/7/2022 9:26,180 St01(Koufu Nyp),SGD,-20.19,,,SGD,-20.19,-15.39338974,,
8/7/2022 13:23,180 St01(Koufu Nyp),SGD,-6.8,,,SGD,-6.8,-5.184499764,,
6/7/2022 7:25,180 St01(Koufu Nyp),SGD,-15.2,,,SGD,-15.2,-11.58888183,,
4/7/2022 16:51,180 St03(Koufu Nyp),SGD,-5,,,SGD,-5,-3.812132179,,
30/6/2022 16:57,180 St11(Koufu Nyp),SGD,-4,,,SGD,-4,-3.049705743,,
13/6/2022 16:08,180 St03(Koufu Nyp),SGD,-5,,,SGD,-5,-3.812132179,,
13/6/2022 13:23,180 Fb Ts(Koufu Nyp),SGD,-0.7,,,SGD,-0.7,-0.533698505,,
13/6/2022 13:23,180 Fb Ts(Koufu Nyp),SGD,-0.8,,,SGD,-0.8,-0.609941149,,
13/6/2022 13:20,180 Fb Dc(Koufu Nyp),SGD,-1.2,,,SGD,-1.2,-0.914911723,,
10/6/2022 16:28,180 St11(Koufu Nyp),SGD,-4,,,SGD,-4,-3.049705743,,
7/6/2022 17:08,180 St03(Koufu Nyp),SGD,-5.5,,,SGD,-5.5,-4.193345397,,
6/6/2022 16:49,180 St01(Koufu Nyp),SGD,-8.76,,,SGD,-8.76,-6.678855578,,
4/6/2022 17:41,180 Fb Dc(Koufu Nyp),SGD,-1.2,,,SGD,-1.2,-0.914911723,,
4/6/2022 17:10,180 St01(Koufu Nyp),SGD,-8.9,,,SGD,-8.9,-6.785595279,,
3/6/2022 7:36,180 St05(Koufu Nyp),SGD,-1.6,,,SGD,-1.6,-1.219882297,,
3/6/2022 7:35,180 St11(Koufu Nyp),SGD,-4,,,SGD,-4,-3.049705743,,
2/6/2022 17:08,180 St03(Koufu Nyp),SGD,-5,,,SGD,-5,-3.812132179,,
31/5/2022 10:15,180 St06(Koufu Nyp),SGD,-3,,,SGD,-3,-2.287279308,,
31/5/2022 17:45,180 Fb Dc(Koufu Nyp),SGD,-0.9,,,SGD,-0.9,-0.686183792,,
30/5/2022 11:02,180 St05(Koufu Nyp),SGD,-2,,,SGD,-2,-1.524852872,,
27/5/2022 9:28,180 Fb Dc(Koufu Nyp),SGD,-1,,,SGD,-1,-0.762426436,,
27/5/2022 8:09,180 St11(Koufu Nyp),SGD,-0.1,,,SGD,-0.1,-0.076242644,,
27/5/2022 8:07,180 St11(Koufu Nyp),SGD,-4.8,,,SGD,-4.8,-3.659646892,,
26/5/2022 10:10,180 St06(Koufu Nyp),SGD,-5.5,,,SGD,-5.5,-4.193345397,,
26/5/2022 17:19,180 Fb Ds(Koufu Nyp),SGD,-3.6,,,SGD,-3.6,-2.744735169,,
24/5/2022 17:38,180 Fb Ds(Koufu Nyp),SGD,-2.6,,,SGD,-2.6,-1.982308733,,
20/5/2022 17:38,180 St03(Koufu Nyp),SGD,-5,,,SGD,-5,-3.812132179,,
17/5/2022 17:05,180 St11(Koufu Nyp),SGD,-4,,,SGD,-4,-3.049705743,,
12/5/2022 16:46,180 Fb Dc(Koufu Nyp),SGD,-1,,,SGD,-1,-0.762426436,,
12/5/2022 16:07,180 St09(Koufu Nyp),SGD,-5,,,SGD,-5,-3.812132179,,
9/5/2022 10:07,180 St08(Koufu Nyp),SGD,-4.4,,,SGD,-4.4,-3.354676318,,
29/4/2022 16:32,180 St08(Koufu Nyp),SGD,-4.8,,,SGD,-4.8,-3.659646892,,
26/4/2022 17:25,180 Fb Ds(Koufu Nyp),SGD,-2.6,,,SGD,-2.6,-1.982308733,,
26/4/2022 17:24,180 Fb Dc(Koufu Nyp),SGD,-1.5,,,SGD,-1.5,-1.143639654,,
25/4/2022 10:27,180 St08(Koufu Nyp),SGD,-4.8,,,SGD,-4.8,-3.659646892,,
22/4/2022 17:29,180 St10(Koufu Nyp),SGD,-3.5,,,SGD,-3.5,-2.668492525,,
18/4/2022 10:13,180 Fb Dc(Koufu Nyp),SGD,-1,,,SGD,-1,-0.762426436,,
12/4/2022 9:36,180 Fb Dc(Koufu Nyp),SGD,-2.5,,,SGD,-2.5,-1.90606609,,
12/4/2022 9:28,180 St01(Koufu Nyp),SGD,-11,,,SGD,-11,-8.386690794,,
